method,question,sample,seed,N,block_points,block_length_s,stable_start_s,residual_std_T_C,residual_std_C_kg_per_kg,event_h,delta_h,baseline_event_h
均值平台+稳定尾段残差成块重采样,问题3,mean_baseline,,200,10,600.0,8580.0,0.15445080793694593,0.00016684356976690682,57.67892564317687,0.0,57.67892564317687
均值平台+稳定尾段残差成块重采样,问题4,mean_baseline,,200,10,600.0,8580.0,0.15445080793694593,0.00016684356976690682,51.26821977364957,0.0,51.26821977364957
均值平台+稳定尾段残差成块重采样,问题3,bootstrap_01,20260914,200,10,600.0,8580.0,0.15445080793694593,0.00016684356976690682,57.67796264071645,-0.0009630024604163623,57.67892564317687
均值平台+稳定尾段残差成块重采样,问题4,bootstrap_01,20260914,200,10,600.0,8580.0,0.15445080793694593,0.00016684356976690682,51.2680147423825,-0.00020503126707183128,51.26821977364957
均值平台+稳定尾段残差成块重采样,问题3,bootstrap_02,20260915,200,10,600.0,8580.0,0.15445080793694593,0.00016684356976690682,57.67453438983224,-0.004391253344628865,57.67892564317687
均值平台+稳定尾段残差成块重采样,问题4,bootstrap_02,20260915,200,10,600.0,8580.0,0.15445080793694593,0.00016684356976690682,51.26713075112741,-0.0010890225221587002,51.26821977364957
均值平台+稳定尾段残差成块重采样,问题3,bootstrap_03,20260916,200,10,600.0,8580.0,0.15445080793694593,0.00016684356976690682,57.677045793477006,-0.0018798496998613246,57.67892564317687
均值平台+稳定尾段残差成块重采样,问题4,bootstrap_03,20260916,200,10,600.0,8580.0,0.15445080793694593,0.00016684356976690682,51.266058097266445,-0.0021616763831247,51.26821977364957
均值平台+稳定尾段残差成块重采样,问题3,bootstrap_04,20260917,200,10,600.0,8580.0,0.15445080793694593,0.00016684356976690682,57.676030117106514,-0.0028955260703540375,57.67892564317687
均值平台+稳定尾段残差成块重采样,问题4,bootstrap_04,20260917,200,10,600.0,8580.0,0.15445080793694593,0.00016684356976690682,51.266759764430645,-0.0014600092189240854,51.26821977364957
