analysis,scenario,parameter,factor,metric,value,delta,unit,dimensionless_sensitivity
问题1,linear_input,边界表示,分段线性,平均温度,35.16791473944731,-0.0019729675937441016,°C,
问题1,linear_input,边界表示,分段线性,平均含水率,2.2935562704116723,8.799428208305926e-08,kg/kg,
问题1,fit_window_3600s,拟合窗口,3600.0,平均温度,35.18121256578934,0.011324858748281486,°C,
问题1,fit_window_3600s,拟合窗口,3600.0,平均含水率,2.293557843113283,1.6606958928022664e-06,kg/kg,
问题1,fit_window_7200s,拟合窗口,7200.0,平均温度,35.19016891229458,0.02028120525352506,°C,
问题1,fit_window_7200s,拟合窗口,7200.0,平均含水率,2.2935493171642665,-6.865253123766735e-06,kg/kg,
问题1,h_factor_0.8,h,0.8,平均温度,34.46721459894516,-0.7026731080958939,°C,
问题1,h_factor_0.8,h,0.8,平均含水率,2.2935561824173902,0.0,kg/kg,
问题1,h_factor_1.2,h,1.2,平均温度,35.71788516475016,0.5479974577091014,°C,
问题1,h_factor_1.2,h,1.2,平均含水率,2.2935561824173902,0.0,kg/kg,
问题1,hm_factor_0.8,hm,0.8,平均温度,35.169887707041056,0.0,°C,
问题1,hm_factor_0.8,hm,0.8,平均含水率,2.3311363053836094,0.037580122966219154,kg/kg,
问题1,hm_factor_1.2,hm,1.2,平均温度,35.169887707041056,0.0,°C,
问题1,hm_factor_1.2,hm,1.2,平均含水率,2.260902054953253,-0.03265412746413743,kg/kg,
问题1,D_factor_0.8,D,0.8,平均温度,35.169887707041056,0.0,°C,
问题1,D_factor_0.8,D,0.8,平均含水率,2.302394758403045,0.008838575985654629,kg/kg,
问题1,D_factor_1.2,D,1.2,平均温度,35.169887707041056,0.0,°C,
问题1,D_factor_1.2,D,1.2,平均含水率,2.2867182592639774,-0.006837923153412806,kg/kg,
问题2,h_0.8,h,0.8,3 h平均温度,49.70462205496448,-0.09998502450997648,°C,0.007052628319028318
问题2,h_0.8,h,0.8,3 h平均含水率,1.3873465640829892,0.004961193479320114,kg/kg,-0.015043914201559243
问题2,h_1.2,h,1.2,3 h平均温度,49.84512340788719,0.04051632841273545,°C,0.007052628319028318
问题2,h_1.2,h,1.2,3 h平均含水率,1.3790279693194483,-0.0033574012842207956,kg/kg,-0.015043914201559243
问题2,hm_0.8,hm,0.8,3 h平均温度,49.795835875428864,-0.008771204045594061,°C,0.0007845835004091822
问题2,hm_0.8,hm,0.8,3 h平均含水率,1.5126383897893132,0.13025301918564414,kg/kg,-0.4221288688701559
问题2,hm_1.2,hm,1.2,3 h平均温度,49.81146622461243,0.006859145137973144,°C,0.0007845835004091822
问题2,hm_1.2,hm,1.2,3 h平均含水率,1.279220480655082,-0.10316488994858708,kg/kg,-0.4221288688701559
问题2,capacity_0.8,capacity,0.8,3 h平均温度,49.861534410073176,0.05692733059871813,°C,-0.008323867212308104
问题2,capacity_0.8,capacity,0.8,3 h平均含水率,1.3777066555455684,-0.004678715058100691,kg/kg,0.016764846065298714
问题2,capacity_1.2,capacity,1.2,3 h平均温度,49.695707635716886,-0.1088994437575721,°C,-0.008323867212308104
问题2,capacity_1.2,capacity,1.2,3 h平均含水率,1.386976846722005,0.00459147611833588,kg/kg,0.016764846065298714
问题2,conductivity_0.8,conductivity,0.8,3 h平均温度,49.775737164994716,-0.028869914479741965,°C,0.002253711482382211
问题2,conductivity_0.8,conductivity,0.8,3 h平均含水率,1.383178816184864,0.0007934455811948737,kg/kg,-0.0023937723523103803
问题2,conductivity_1.2,conductivity,1.2,3 h平均温度,49.820635250934934,0.016028171460476415,°C,0.002253711482382211
问题2,conductivity_1.2,conductivity,1.2,3 h平均含水率,1.3818551698327082,-0.0005302007709608869,kg/kg,-0.0023937723523103803
问题2,diffusivity_0.8,diffusivity,0.8,3 h平均温度,49.80018456199239,-0.004422517482069566,°C,0.0003908137362092695
问题2,diffusivity_0.8,diffusivity,0.8,3 h平均含水率,1.4289785831097346,0.04659321250606552,kg/kg,-0.14780546578860806
问题2,diffusivity_1.2,diffusivity,1.2,3 h平均温度,49.807970291821654,0.003363212347196054,°C,0.0003908137362092695
问题2,diffusivity_1.2,diffusivity,1.2,3 h平均含水率,1.3472489376691614,-0.03513643293450763,kg/kg,-0.14780546578860806
